Url,Status
www.nigels.com/glt/,1
linas.org/gle/,1
sourceforge.net/projects/libspider/,1
doc.trolltech.com/4.4/qtopengl.html,1
projects.gnome.org/gtkglext/,1
www.xmission.com/~nate/glut.html,1
www.nigels.com/glt/glui/,1
studierstube.icg.tu-graz.ac.at/openinventor/,1
www.spec.org/gpc/opc.static/overview.html,1
www.broadwell.org/dl/trislam,1
opengl.org/resources/benchmarks/,1
www.glbenchmark.com/index.jsp,1
'homepage.virgin.net/roy.longbottom/opengl\%20results.htm',1
msdn.microsoft.com/en-us/library/ms537006(VS.85).aspx,1
www.infinity-universe.com/opengl/GeomBench/,1
www.starstonesoftware.com/OpenGL/,1
www.berkelium.com/OpenGL/GDC99/index.html,1
www.libsdl.org/opengl/index.php,1
www.berkelium.com/OpenGL/,1
www.gamasutra.com/php-bin/article_display.php,1
www.mathies.com/glfaq/GLToolkitFAQ.html,1
www.nigels.com/research/,1
www.codeguru.com/Cpp/G-M/opengl/,1
www.flipcode.com/archives/,1
www.gamedev.net/community/forums/forum.asp?forum_id=25,1
www.idevgames.com/forum/forumdisplay.php?f=12,1
www.devmaster.net/forums/forumdisplay.php?f=11,1
www.khronos.org/message_boards/?category=3,1
oss.sgi.com/projects/ogl-sample/mail.html,1
lists.apple.com/mailman/listinfo/mac-opengl,1
tech.groups.yahoo.com/group/opengl-gamedev-l/,1
tech.groups.yahoo.com/group/pyopengl/,1
sourceforge.net/projects/dsvideolib,1
sourceforge.net/projects/ogl-es,1
www.cs.virginia.edu/~mem5w/anichess/,1
www.ai.sri.com/~reddy/3dmines,1
www.doomworld.com/doomgl/,1
mangoquest.sourceforge.net/index.php?lang=en,1
oss.sgi.com/projects/ogl-sample/,1
www.realtech-vr.com/directx/,1
studierstube.icg.tu-graz.ac.at/klimt/,1
ogl-es.sourceforge.net/architecture.htm,1
www.dsbox.com/minigl.html,1
bellard.org/TinyGL/,1
www.weihenstephan.de/~syring/ActiveX/,1
pike.ida.liu.se/about/pike/modules.xml,1
kenai.com/projects/jogl/pages/Home,1
www.nvidia.com/content/drivers/drivers.asp,1
ati.amd.com/support/driver.html,1
www.sun.com/software/graphics/opengl/,1
www.xmission.com/~nate/opengl.html,1
ablazespace.sourceforge.net/as-page/,1
www.jimbrooks.org/web/opengl/,1
www.ffconsultancy.com/products/ocaml_for_scientists/visualisation/,1
www.codeproject.com/KB/openGL/,1
www.vis.uni-stuttgart.de/glsldevil/,1
users.skynet.be/SwSh/,1
www.xs4all.nl/~reije081/,1
freespace.virgin.net/hugo.elias/,1
www.levenez.com/lang/,1
merd.sourceforge.net/pixel/language-study/diagram.html,1
www.fh-jena.de/~kleine/history/,1
en.wikipedia.org/wiki/PL/I_programming_language,1
www.scriptol.org/history.php,1
www.gavilan.edu/csis/languages/history.html,1
oreilly.com/news/languageposter_0504.html,1
www.catb.org/~esr/retro/,1
www.metasun.com/products/metatraffic/,1
jetstat.com/asp/,1
www.smartwebby.com/web_products/smart_referrer/,1
www.breathofair.co.uk/ASP/applications/Tv_guide/,1
www.teraway.com/livehelp/,1
www.lutanho.net/diagram/index.html?php_and_asp.html,1
www.bier-voting.de/objcheck/,1
www.quickezine.com/x2_affiliate.asp,1
www.rainworx.com/auction_software.asp,1
www.expinion.net/software/app_cal.asp,1
www.asp-dev.com/main.asp?page=42,1
www.kamath.com/calendar/,1
www.g2soft.net/pentacle/,1
www.haneng.com/Lessons_3.asp,1
www.zbitinc.com/product.aspx?p=3,1
www.codetoad.com/asp/,1
hotscripts.com/ASP/Scripts_and_Components/,1
www.freescripts.com/ASP/scripts.html,1
www.aspin.com/home/webapps/,1
www.interspire.com/webedit/,1
www.expinion.net/software/app_mms.asp,1
www.alanward.net/acart/,1
www.cyberstrong.com/eshop/,1
www.pagedowntech.com/products/,1
www.alanward.net/afaq/,1
www.expinion.net/software/app_faqgenerator.asp,1
www.expinion.net/software/app_helpdesk.asp,1
www.software-secure.com/asp/,1
software-secure.com/album/,1
tech.dimac.net/Products/w3Image/start.htm,1
www.planet-source-code.com/vb/scripts/ShowCode.asp?lngWId=4&amp;txtCodeId=7043,1
www.gleamtech.com/products/wexlite.asp,1
www.fuzzyd.co.uk/fuzzyduckexplorer/,1
www.smartwebby.com/web_products/flash_guestbook/default.asp,1
http://yzwymvbkfe.duckdns.org/,0
http://gjbguanqdq.duckdns.org/,0
